"schid","name","enroll","male_per","frpl_per","sped_per","lep_per","gifted_per","lea_id","id_type","title1_status","title3_program_type","type","poverty_desig","year"
"01","Martin",172,0.444966639664548,0.0176912345278498,0.0882637322643569,0.173014603920747,0.259603013955478,"0001","Local","SWELIGSWPROG","ContentBasedESL","K12School","Neither","2010"
"02","Jefferson",690,0.51228211701126,0.759340279034785,0.125599791292231,0.285388896145619,0.056758270795556,"0001","Local","SWELIGTGPROG","ShelteredEnglishInstruction","K12School","Neither","2010"
"03","Ace Hall",191,0.425497540958449,0.277406486192509,0.086645126107976,0.175453171417734,0.290583968703591,"0001","Local","TGELGBNOPROG","DualLanguage","K12School","HighQuartile","2010"
"04","Harrison",232,0.509233766492069,0.255589702459454,0.0699291132985281,0.051374786386732,0.244180632450419,"0001","Local","TGELGBNOPROG","HeritageLanguage","K12School","Neither","2010"
"05","Shortleaf",105,0.465560899046522,0.205013950908302,0.102873032105223,0.122825908598024,0.317550634969859,"0001","Local","TGELGBNOPROG","TransitionalBilingual","K12School","HighQuartile","2010"
"06","Wintergreen",165,0.475095053595369,0.0444775950910022,0.0162473959543302,0.0814457295903419,0.429456935235766,"0001","Local","SWELIGNOPROG","StructuredEnglishImmersion","K12School","Neither","2010"
"07","Tupelo",173,0.571361216248005,0.205270496364484,0.0177263127589192,0.01885329030404,0.0726212961878628,"0001","Local","SWELIGTGPROG","TransitionalBilingual","K12School","Neither","2010"
"08","Secretariat",675,0.56850278282815,0.165818067682762,0.145412729434595,0.0932020197308093,0.550321604789469,"0001","Local","SWELIGNOPROG","StructuredEnglishImmersion","K12School","HighQuartile","2010"
"09","Spellman",95,0.473168688205958,0.0729388385856793,0.0223605600639125,0.0706216735444416,0.641768219572122,"0001","Local","NOTTITLE1ELIG","TwoWayImmersion","K12School","Neither","2010"
"10","Labyrinth",2377,0.558170028703145,0.588867054219941,0.186812470254777,0.0495169202622492,0.118849468034135,"0001","Local","SWELIGNOPROG","HeritageLanguage","K12School","Neither","2010"
"11","Islander",295,0.569036917775462,0.357210631378766,0.0102543397846146,0.232630870004097,0.342810276934986,"0001","Local","TGELGBNOPROG","DevelopmentalBilingual","K12School","Neither","2010"
"12","Chan",171,0.483331379835915,0.441455089089745,0.0252796011888265,0.00762495539011204,0.10549499476057,"0001","Local","SWELIGTGPROG","TransitionalBilingual","CharterSchoolManagementOrganization","LowQuartile","2010"
"13","Galaxy",2503,0.512602319664125,0.0487365171380477,0.123660667400109,0.0285342171608083,0.23335108866837,"0001","Local","TGELGBTGPROG","SDAIE","K12School","HighQuartile","2010"
"14","Courtdale",237,0.50331466835574,0.154255746604176,0.13973624479142,0.0388767845241819,0.499104455602349,"0001","Local","TGELGBTGPROG","ContentBasedESL","K12School","Neither","2010"
"15","Jupiter",170,0.662821445922149,0.0892704882421337,0.0740454058582726,0.132484260226277,0.36751599630014,"0001","Local","TGELGBTGPROG","StructuredEnglishImmersion","K12School","LowQuartile","2010"
